0,9,5,0,5,6,7,9,6,9,9,9,0,0,6,0,8,6,0,0,5,0,0,5,8,0,0,yes
0,9,6,3,0,7,9,9,6,9,6,9,0,5,6,3,7,6,3,3,3,3,0,5,9,0,0,yes
0,9,6,0,0,9,7,9,0,9,9,9,0,5,6,0,7,9,0,0,0,5,0,5,6,0,0,yes
0,7,6,0,0,9,7,9,6,9,8,9,0,0,0,0,6,7,0,0,0,0,0,0,7,0,0,yes
0,5,9,5,5,9,6,9,9,6,9,9,0,7,8,5,9,9,6,6,0,0,0,0,7,0,0,yes
0,8,0,6,0,7,6,9,5,9,9,9,0,6,0,5,9,6,0,0,0,5,0,0,9,0,0,yes
0,9,0,6,0,8,9,9,0,8,6,9,0,8,6,0,8,7,9,0,8,6,0,0,9,0,0,yes
0,9,0,0,6,7,6,9,0,8,9,9,0,0,0,0,9,6,0,0,0,6,0,0,9,0,0,yes
0,9,0,7,0,6,6,9,0,6,9,9,0,6,6,9,9,0,6,0,0,6,0,0,9,0,0,no
3,7,6,3,0,7,8,9,5,9,9,9,0,3,3,0,7,3,6,3,0,5,5,3,9,0,0,no
